0.508603, 0.281957, 0.445047, 5.319890, 6.555496
0.565825, 0.277518, 0.384795, 5.035793, 6.263931
0.653820, 0.299858, 0.414452, 5.334286, 6.702417
0.591303, 0.277802, 0.485052, 5.400077, 6.754233
0.624924, 0.280374, 0.392045, 5.387558, 6.684900
0.629918, 0.281636, 0.375894, 5.299685, 6.587133
0.504742, 0.282449, 0.359242, 4.974911, 6.121343
0.653330, 0.285171, 0.397677, 5.560627, 6.896806
0.533966, 0.283968, 0.397776, 5.270163, 6.485874
0.652674, 0.277798, 0.407208, 5.285085, 6.622766
0.544706, 0.277218, 0.386009, 5.023444, 6.231376
0.524284, 0.279451, 0.478845, 5.322721, 6.605302
0.651488, 0.280899, 0.375057, 5.119034, 6.426479
0.662644, 0.282325, 0.443741, 5.539680, 6.928390
0.640172, 0.282945, 0.418377, 5.359477, 6.700970
0.672692, 0.281847, 0.439000, 5.480185, 6.873726
0.639451, 0.278006, 0.387527, 5.340105, 6.645088
0.656807, 0.278561, 0.398948, 5.506633, 6.840950
0.603096, 0.284880, 0.492118, 5.510207, 6.890302
0.561150, 0.304784, 0.406385, 5.483270, 6.755588
0.627646, 0.278826, 0.429348, 5.574012, 6.909832
0.535805, 0.284672, 0.426621, 5.558443, 6.805541
0.642406, 0.279380, 0.470914, 5.522487, 6.915186
0.636888, 0.281066, 0.377952, 5.288556, 6.584462
0.667949, 0.304141, 0.410270, 5.588269, 6.970630
0.625074, 0.299839, 0.382299, 5.599651, 6.906864
0.611512, 0.277979, 0.386519, 5.393820, 6.669830
0.678585, 0.282953, 0.359814, 5.532907, 6.854259
0.518830, 0.283748, 0.462315, 5.585856, 6.850749
0.526725, 0.281017, 0.402511, 5.097764, 6.308017
0.748138, 0.284414, 0.390055, 6.179646, 7.602254
0.626737, 0.280143, 0.384640, 5.782212, 7.073732
0.702407, 0.325845, 0.423789, 6.160695, 7.612736
0.650886, 0.302444, 0.443416, 6.117221, 7.513967
0.528811, 0.279091, 0.460236, 6.204297, 7.472434
0.507727, 0.277824, 0.349423, 5.724817, 6.859792
0.674177, 0.281255, 0.416150, 6.060611, 7.432193
0.651562, 0.284401, 0.464660, 6.130489, 7.531112
0.584860, 0.285299, 0.451997, 6.034986, 7.357142
0.517470, 0.278374, 0.394685, 5.562335, 6.752864
0.674370, 0.280323, 0.411656, 5.651458, 7.017807
0.744506, 0.281563, 0.403344, 6.309050, 7.738463
0.694840, 0.281737, 0.506879, 6.160116, 7.643572
0.510201, 0.278481, 0.482305, 5.679511, 6.950498
0.680621, 0.277464, 0.548558, 6.146492, 7.653134
0.706038, 0.278491, 0.390726, 6.155490, 7.530745
0.657421, 0.277741, 0.457107, 6.101565, 7.493834
0.520639, 0.281682, 0.474940, 6.196269, 7.473531
0.663343, 0.283849, 0.423181, 6.320526, 7.690900
0.823320, 0.508338, 0.478615, 5.239904, 7.050177
0.704176, 0.287027, 0.495666, 6.424592, 7.911462
0.714848, 0.277467, 0.461056, 6.282292, 7.735663
0.773291, 0.306646, 0.480462, 6.305450, 7.865849
0.770347, 0.301075, 0.401971, 6.353836, 7.827229
0.722017, 0.302217, 0.386379, 6.261195, 7.671808
0.771575, 0.305869, 0.361444, 6.327060, 7.765947
0.641119, 0.278922, 0.411258, 6.366430, 7.697728
0.692169, 0.283067, 0.404937, 5.840278, 7.220451
0.555968, 0.302868, 0.411932, 6.465808, 7.736575
0.473009, 0.305396, 0.283039, 5.512519, 6.573963
0.824875, 0.280678, 0.399008, 6.674969, 8.179531
1.001084, 0.283220, 0.418730, 6.819180, 8.522213
1.136136, 0.301582, 0.432593, 6.656993, 8.527303
0.876354, 0.304449, 0.427528, 6.893476, 8.501807
1.049973, 0.280383, 0.479215, 6.732817, 8.542389
0.859120, 0.278794, 0.369812, 6.204589, 7.712315
0.739443, 0.284252, 0.422724, 6.831704, 8.278123
0.995852, 0.277266, 0.547066, 6.837951, 8.658135
0.873706, 0.278214, 0.409211, 6.719893, 8.281023
1.096180, 0.508934, 0.242082, 5.811753, 7.658949
